FIPS,clusters
1001,cluster_3
1003,cluster_3
1005,cluster_8
1007,cluster_8
1009,cluster_3
1011,cluster_2
1013,cluster_8
1015,cluster_8
1017,cluster_8
1019,cluster_3
1021,cluster_3
1023,cluster_8
1025,cluster_8
1027,cluster_3
1029,cluster_3
1031,cluster_3
1033,cluster_8
1035,cluster_8
1037,cluster_8
1039,cluster_3
1041,cluster_8
1043,cluster_3
1045,cluster_8
1047,cluster_2
1049,cluster_3
1051,cluster_3
1053,cluster_8
1055,cluster_8
1057,cluster_3
1059,cluster_3
1061,cluster_3
1063,cluster_2
1065,cluster_8
1067,cluster_8
1069,cluster_3
1071,cluster_3
1073,cluster_8
1075,cluster_3
1077,cluster_3
1079,cluster_3
1081,cluster_3
1083,cluster_3
1085,cluster_2
1087,cluster_2
1089,cluster_3
1091,cluster_8
1093,cluster_3
1095,cluster_3
1097,cluster_8
1099,cluster_8
1101,cluster_8
1103,cluster_3
1105,cluster_2
1107,cluster_8
1109,cluster_8
1111,cluster_8
1113,cluster_8
1115,cluster_3
1117,cluster_5
1119,cluster_2
1121,cluster_8
1123,cluster_8
1125,cluster_3
1127,cluster_3
1129,cluster_8
1131,cluster_2
1133,cluster_3
2013,cluster_6
2016,cluster_5
2020,cluster_5
2050,cluster_6
2060,cluster_6
2068,cluster_5
2070,cluster_6
2090,cluster_5
2100,cluster_5
2110,cluster_5
2122,cluster_5
2130,cluster_5
2150,cluster_5
2164,cluster_6
2170,cluster_5
2180,cluster_6
2185,cluster_6
2188,cluster_6
2220,cluster_5
2240,cluster_5
2261,cluster_5
2282,cluster_6
2290,cluster_6
4001,cluster_6
4003,cluster_8
4005,cluster_8
4007,cluster_8
4009,cluster_8
4011,cluster_8
4012,cluster_8
4013,cluster_8
4015,cluster_8
4017,cluster_8
4019,cluster_8
4021,cluster_8
4023,cluster_8
4025,cluster_8
4027,cluster_8
5001,cluster_8
5003,cluster_8
5005,cluster_8
5007,cluster_8
5009,cluster_8
5011,cluster_8
5013,cluster_8
5015,cluster_8
5017,cluster_8
5019,cluster_8
5021,cluster_8
5023,cluster_8
5025,cluster_8
5027,cluster_8
5029,cluster_8
5031,cluster_8
5033,cluster_8
5035,cluster_8
5037,cluster_8
5039,cluster_8
5041,cluster_8
5043,cluster_8
5045,cluster_8
5047,cluster_8
5049,cluster_8
5051,cluster_8
5053,cluster_8
5055,cluster_8
5057,cluster_8
5059,cluster_8
5061,cluster_8
5063,cluster_8
5065,cluster_8
5067,cluster_8
5069,cluster_8
5071,cluster_8
5073,cluster_8
5075,cluster_8
5077,cluster_8
5079,cluster_8
5081,cluster_8
5083,cluster_8
5085,cluster_8
5087,cluster_8
5089,cluster_8
5091,cluster_8
5093,cluster_8
5095,cluster_8
5097,cluster_8
5099,cluster_8
5101,cluster_8
5103,cluster_8
5105,cluster_8
5107,cluster_8
5109,cluster_8
5111,cluster_8
5113,cluster_8
5115,cluster_8
5117,cluster_8
5119,cluster_8
5121,cluster_8
5123,cluster_8
5125,cluster_8
5127,cluster_8
5129,cluster_8
5131,cluster_8
5133,cluster_8
5135,cluster_8
5137,cluster_8
5139,cluster_8
5141,cluster_8
5143,cluster_8
5145,cluster_8
5147,cluster_8
5149,cluster_8
6001,cluster_5
6003,cluster_5
6005,cluster_5
6007,cluster_5
6009,cluster_5
6011,cluster_5
6013,cluster_5
6015,cluster_5
6017,cluster_5
6019,cluster_5
6021,cluster_5
6023,cluster_5
6025,cluster_5
6027,cluster_5
6029,cluster_5
6031,cluster_5
6033,cluster_5
6035,cluster_5
6037,cluster_5
6039,cluster_5
6041,cluster_5
6043,cluster_5
6045,cluster_5
6047,cluster_5
6049,cluster_5
6051,cluster_5
6053,cluster_5
6055,cluster_5
6057,cluster_5
6059,cluster_5
